#close,open,high,low,volume
34200,33650,34650,33600,8008720
34100,34150,34400,33800,4174016
34100,34350,34650,33850,4626449
33650,34050,34100,33500,5968063
33550,33850,33900,33350,5687469
33200,33500,33550,33050,5546126
32200,33300,33350,31750,13135781
32350,32250,32600,32000,5839748
32350,32700,33100,32300,5696747
31750,32150,32200,31500,7995396
32200,32250,32400,31300,7722678
32200,32300,32750,31850,6446199
32050,32000,32450,31700,4749691
32050,31900,32200,31800,2193274
32000,32450,32450,31750,3643420
31850,32200,32350,31850,3307683
31850,31900,32300,31750,3223554
33300,32100,33550,32050,10312955
32700,33300,33400,32500,4523488
32550,32500,32600,32050,4038513
32000,32900,32950,31850,6832181
31700,31700,31800,31400,4464540
31450,31800,31950,31150,4931328
31550,31350,31750,31150,3176004
30800,31300,31500,30550,6944296
30250,30800,30800,30000,8666679
29300,29600,29650,28950,12476719
29150,28800,29750,28700,6855853
29400,29350,29750,28500,9477332
29450,29450,30100,29100,5998034
29900,29150,30150,29100,5379926
29350,30050,30050,29100,5449928
28650,29350,29400,28350,9365372
28250,28550,28650,27700,7569606
28750,28550,28900,28250,6161738
30300,29900,30800,29750,15433445
30500,30900,31350,30400,9815586
30800,30800,31600,30650,6665324
30900,30350,31250,30300,5124594
31550,30650,31800,30300,8611266
32000,32250,32500,31800,7402322
31450,31500,31950,31000,5688974
30850,31050,31200,30300,5747647
30900,31200,31300,30550,5828082
30600,31000,31000,30300,6227967
31850,30850,32100,30650,11729939
32150,32500,32800,31950,9350751
32150,32700,32950,32100,8060920
34500,33450,34500,33150,18845309
34700,35200,35350,33700,14047924
33700,34200,34650,33550,7028284
34050,34150,34350,32950,6743839
33500,34100,34150,33350,4255969
33900,34200,34350,33600,4400397
33350,34000,34800,33350,5400964
33400,33000,33550,32550,4268886
33500,33850,34050,33500,3954565
34950,34200,35000,34150,9822228
35900,35200,36850,35100,13703732
37600,36950,37700,36550,12637910
37400,38250,38650,36800,10001749
37700,37800,38050,36900,5585871
38200,37300,38800,37200,7312966
38800,38650,39350,38550,6062962
39100,39650,39700,38550,7064650
37550,38850,38850,37550,5778636
37700,38100,38450,37450,4634352
37550,37700,38050,37200,3350177
39200,38000,39200,37750,6008139
39200,39000,40000,38950,5066982
39000,39700,39850,38850,4053341
38300,38400,39150,37850,4579628
37400,38500,39000,37350,4975523
36350,37200,38100,36350,8138128
36950,36450,37150,36100,4119960
37600,37450,38000,37050,3762650
35300,36900,37100,34650,7216105
35800,35800,36350,35000,4686778
37100,36350,37550,35900,4779523
37350,37650,38150,36950,6559845
37100,38150,38150,36800,2590020
37650,37350,37650,36950,2787643
38700,38250,39100,38200,6014002
37300,37950,38550,37050,6148580
39000,37950,39000,37500,5732127
38400,38800,39500,38250,4686175
36550,36800,37100,35850,7972490
35300,37300,37300,35000,5098790
36750,36600,36900,36250,4153220
35950,36550,36900,35850,3603886
36750,35850,37200,35650,4169620
36700,37450,37700,36550,4023192
35550,36400,36450,35150,7036301
34350,35900,36000,33900,9563374
33200,33750,33850,32500,10770631
32700,31550,32700,31550,7808173
33550,33550,34200,33500,7173559
33750,33550,33950,33000,6283061
33000,33900,33900,32750,5607944
32600,32850,33100,32350,5397346
32800,33150,33800,32800,6786303
32050,32400,32800,31600,9870563
31000,31950,31950,30700,9907081
31150,30350,31500,30200,6595526
31600,31400,32000,31150,5258972
31400,31900,32200,31350,3485293
30500,31150,31450,30050,7401219
30400,30350,30900,29800,6113911
30550,30450,30950,30350,2882498
29550,30550,30600,29300,6086663
30150,30500,30800,30050,5373391
28850,29950,29950,28850,7546620
29200,28950,29200,28650,4900130
30950,29600,30950,29600,7895709
31300,31550,31900,31150,7468733
31100,31450,31450,30650,5335855
31000,31700,31700,30500,6479229
29700,30050,30150,29650,8514602
29400,29600,29700,29000,5673386
29300,29800,30050,29200,5402021
29000,28800,29400,28700,5305075
28950,29100,29300,28550,4775770
28650,28950,29000,28350,5057857
28300,28250,29550,27950,8134755
28000,28700,28900,28000,4293122
26700,27750,27850,26400,10340035
26800,26700,27400,26500,6559482
26100,26800,27050,25650,8770212
26000,26400,26700,26000,5299247
25250,24950,25400,24750,5298719
25150,25500,25800,24850,4899273
24300,25250,25400,24150,6949179
23000,24050,24400,23000,9004225
26350,22900,26450,22600,19042962
25350,26050,26250,25050,8870871
24850,25000,25100,24200,6290150
25000,25250,26250,25000,8838583
24550,25550,25700,24400,4716452
24100,23850,24250,23850,3383856
23650,24000,24100,23300,4010378
24150,23500,25300,23350,5339468
24650,24450,25500,24400,6282531
23400,24250,24400,23400,5652792
23450,23600,24000,22900,5543055
23050,23100,23150,22650,2903394
23200,22900,23450,22800,3105225
23200,23700,24000,23100,3680017
23700,23350,24250,23300,4804998
23750,23750,24850,23700,5976549
23000,23950,24100,22850,4960780
23000,22600,23000,22100,3052344
22500,22950,23050,22300,2697096
22700,22100,23400,22100,3842767
22700,23000,23450,22700,3714491
22950,23100,23400,22850,2447060
22850,22550,22850,22100,3078706
22800,23100,23400,22800,3036224
24500,23650,24700,23600,10821316
25900,24800,25900,24650,8695045
25200,25750,25750,24900,3668301
25450,25500,25950,25350,2905890
25650,25400,26000,25000,4208569
26950,26400,27200,26300,8883477
27500,27100,28150,26450,9077272
27000,27150,27450,26650,5444833
26500,27100,27300,26050,5025999
26050,25800,26050,25300,6195074
26000,26450,26550,25800,4870974
25550,25500,26000,25350,4201350
25250,25200,26000,24950,3689736
25250,25100,25400,24600,3724869
24500,25400,25450,24350,2833831
24700,24800,24900,23500,3196468
25750,24800,25750,24800,4274037
25700,26000,26550,25700,2519317
26000,25850,26800,25450,2801760
25950,25850,26500,25800,1957218
24850,26000,26100,24800,3440780
24600,24400,24850,24100,2770877
24400,24500,24600,24000,3164048
23600,23500,23800,23350,4062797
23100,23400,23550,22950,3245201
23500,22650,23900,22550,3217076
23300,23700,24100,23300,1980789
23700,23850,24150,23350,3832372
23250,23800,23950,23150,1868227
22750,23750,23950,22600,3431690
21850,22300,22550,21800,4795073
24500,22300,24500,22200,10714366
24500,24100,25050,23800,9942980
25000,25000,25600,24900,7523875
25000,24400,25850,24000,9745690
25300,25900,26100,25000,6163397
26100,25900,26400,25650,5131742
25150,26100,26300,25000,5772990
24450,24700,25350,24150,3506559
25250,24900,25600,24650,4308059
26100,25600,26650,25450,9025016
26000,26200,26450,25350,4468228
25300,26050,26200,24850,5957399
26000,25900,26450,25700,5335745
26050,25900,26400,25750,2539347
26100,25550,26300,25350,3825822
26250,26450,27200,26100,4783467
25800,26550,26800,25750,2743869
26200,26400,26550,25800,4234387
26000,25800,26500,25600,3354368
25650,25550,25850,25300,3023722
25500,25900,25950,25250,3222968
24600,25350,25600,24500,4093336
24550,24950,25050,24500,3190984
23750,24200,24250,23500,5641334
23500,23850,24150,23300,4647320
23100,23750,23850,23100,3754101
24950,23400,24950,23300,5583440
24900,24700,25200,24300,4076337
24550,24750,24750,24300,2448630
23300,23850,24000,23300,4473335
23650,23700,23900,23300,3972577
24300,23800,24600,23750,3918323
24900,24400,25400,23900,6740104
24050,24400,24550,23950,3371537
23700,23550,24150,23500,2244452
24550,23600,24800,23300,3165583
24500,25400,25550,24500,4104595
23900,24500,24800,23800,3069033
23800,24300,24600,23550,2458362
24000,23350,24250,22750,3966402
24150,24000,24200,23550,2744891
24100,24650,24750,24100,3362228
24750,23800,24800,23600,3304085
26250,25200,26250,24950,7573430
26050,26200,26500,25850,3381961
25900,26550,26600,25900,3046637
26450,26150,26850,26100,4662565
25800,26000,26050,25300,5285519
26300,25550,26450,25550,3121447
27850,26500,28000,26500,12337043
27900,27650,28700,27250,7407189
28150,28800,28850,28150,4544842
28250,28450,28500,27850,3046327
28000,28350,28350,27600,2774528
27450,28000,28050,27350,3686099
26850,27600,27700,26750,4726599
27650,27150,27850,26950,4927300
28950,28000,28950,27950,11133910
28900,28550,29450,28350,5397841
27850,28550,28800,27600,6857099
27800,28350,28350,27750,3704662
28050,28700,28950,27950,4626093
28300,28300,28900,28200,3338982
29350,28750,29500,28700,5874179
29450,29800,30200,29450,6268959
28950,29450,30000,28750,5245300
28500,29300,29700,28200,5910222
28100,28300,28900,27900,7947243
26650,27050,27250,26500,11741135
26800,26900,27250,26600,3654818
26800,26650,26950,26400,3156175
27950,27650,28000,27400,5879147
28350,28200,28700,27950,3790033
28300,28450,28600,28000,3764461
29100,28250,29300,28200,6404820
29200,29700,29750,28800,3870034
29200,29200,29300,28700,2644485
29400,29250,29800,29250,2837691
30400,29450,30500,29450,8450892
30600,30800,31300,30500,4756489
30600,31000,31150,30350,4020996
29850,29350,30100,29200,5436958
30000,29550,30300,29400,3053708
29650,29700,30000,29000,2973122
29400,29900,29900,29100,2759817
28600,29000,29450,28550,3771698
29450,28850,29800,28650,3667896
29450,29700,29750,29300,3229536
29900,29650,30300,29600,3042082
31000,30350,31100,30000,10127440
30350,30900,30950,30250,3055725
30050,30350,30950,30000,2862655
30250,30500,30800,30200,2531317
31300,30600,31550,30500,6289488
31450,30700,31950,30600,4808300
31200,31650,31650,30900,4087318
31150,31200,31300,30650,2463221
29200,30000,30350,29200,7259093
29350,29250,29700,28650,3991754
29400,29900,30050,29150,2139938
28900,29100,29500,28400,3319275
28450,28550,28700,27850,4139315
27850,28050,28100,27600,3138101
27950,28250,28300,27150,3854455
27950,27550,28200,27150,2690083
27450,27700,28150,27250,2075540
27150,27500,27750,26700,2791496
27200,27700,27900,27100,2468597
25950,26450,26550,25850,4516941
25000,25800,25900,24900,5483324
24550,25100,25150,23850,7000530
23750,24600,24600,23500,4662581
25050,23450,25250,23300,6437012
23350,24550,24850,23350,7131896
23050,23350,23550,22350,5666235
22650,22900,23300,22350,3817869
22550,23250,23450,22400,3364576
22700,22200,22850,21900,5012777
23750,23100,23750,22750,4667715
23200,23650,24000,23150,2990080
22150,23150,23150,22150,2922887
21650,22450,22650,21400,5536556
22200,22550,22600,22000,4204834
22650,22750,23200,22500,4092848
23850,23150,23900,23000,3523891
23400,23350,23500,22800,4405562
23250,23350,23650,22900,5522028
23900,23550,24000,22550,6858488
23350,23400,24250,23050,4330678
23000,23550,23650,22600,3473152
21800,22450,22550,21800,4930027
21100,22350,22450,21100,7361013
21650,21150,21950,21150,4185605
21050,21350,21750,20850,3394626
20500,20900,21150,20250,3331192
20700,20300,21150,20300,3403773
22400,21600,22400,21350,5188398
22100,22500,23200,22100,6003004
22600,22000,22950,21900,4721418
23800,23250,23800,23150,5737712
23300,23900,24200,23250,4560056
23200,23500,23900,23200,2750788
23500,23100,23500,22700,3224350
23400,23300,23450,22850,2416751
22400,23050,23200,22400,3078400
22100,22050,22500,21600,3894367
21600,21800,21950,21250,3034362
20950,21350,21500,20700,3607546
21050,21200,21450,21050,2070203
20550,20550,20800,20400,3761696
19800,20550,20600,19550,6578670
